Name,Código,Local,Calle,Población,Tipo de cliente,Cod. Transporte,Transporte,Frecuencia,Kilos Promedio Semanal,Latitud,Longitud
Pichilemu Poniente,3200245673,Super 9 Pichilemu,Dionisio Acevedo 81,pichilemu,Supermercados,V4019,V4019,M V,3333,-34.3859673,-72.0078692
Quinta de Tilcoco,3200243551,Super 9 Quinta de Tilcoco,Tomas Argomedo 1116,Quinta de Tilcoco,Supermercados,V1432,V1432,M J S,1112,-34.3487748,-70.9598512
Rengo Sur 1,15619,Super 9 Rengo,Condell 305,Rengo,Supermercados,,,L W,1697,-34.411077,-70.863013
Rengo Centro,3200107411,Cugat Rengo,San Martin 153,Rengo,Supermercados,,,M J,5524,-34.406703,-70.862804
Rengo Sur 1,3200251329,Comercial Corona Limitada,Condell 305,Rengo,Supermercados,,,L W,769,-34.411077,-70.863013
Rengo Centro,3200010617,M10 Rengo,Arturo Prat 607,Rengo,Supermercados,,,M J,5422,-34.404485,-70.856572
Rengo Sur 1,3200027347,Tottus Rengo,Condell 100,Rengo,Supermercados,,,L W,7336,-34.410615,-70.86102
Requinoa Oriente,88754,Super 9 Requínoa,Carlos Nieny 14,Requínoa,Supermercados,V2147,V2147,L W V,2106,-34.282297,-70.81796
Rgua Centro 1,3200010616,M10 Rancagua II,Avenida Brasil 1016,Rancagua,Supermercados,V3639,V3639,L W V,1403,-34.170107,-70.7496
Rgua Centro 2,3200018182,Santa Isabel Independencia,Independencia 591,Rancagua,Supermercados,V2147,V2147,M J S,718,-34.169125,-70.743261
Rgua Centro 1,3200036945,M10 Rancagua III,Avenida Brasil 1064,Rancagua,Supermercados,V3639,V3639,L W V,3928,-34.170102,-70.749567
Rgua Centro 2,3200069459,Tottus Rancagua Centro,Cuevas 405,Rancagua,Supermercados,V2147,V2147,M J S,2424,-34.16948,-70.74156
Rgua Mercado,54692,Alvi Rancagua,Bombero Ruidiaz 40,Rancagua,Supermercados,,,,368,-34.1649,-70.7495
Rgua Mercado,3200052166,Unimarc Rancagua,Doctor Salinas 115,Rancagua,Supermercados,,,,297,-34.1662576,-70.750764
Rgua Mercado,3200104039,Lider Express Santa Maria,Avenida Santa Maria 172,Rancagua,Supermercados,,,,2500,-34.166592,-70.748653
Rgua Mercado,3200107410,Cugat Santa Maria,Santa Maria 381,Rancagua,Supermercados,,,,7495,-34.168287,-70.75113
Rgua Nororiente 1,3200041898,Unimarc Membrillar,Membrillar 10,Rancagua,Supermercados,,,,993,-34.1712178,-70.734264
Rgua Nororiente 1,3200068010,Jumbo Membrillar,Membrillar 450,Rancagua,Supermercados,,,,1211,-34.17214,-70.72831
Rgua Norte 1,3200038850,Santa Isabel Republica,Avda Republica de Chile 450,Rancagua,Supermercados,,,,2299,-34.15559,-70.73818
Rgua Norte 1,3200103967,Lider Express Rancagua,Recreo 620,Rancagua,Supermercados,,,,6873,-34.158963,-70.737131
Rgua Norte 1,3200041899,Unimarc Rancagua Republica,Republica de Chile 391,Rancagua,Supermercados,,,,1180,-34.1548,-70.7367
Rgua Norte 2,3200051514,Unimarc Rancagua Kennedy,Avda Kennedy 2235 Parque I,Rancagua,Supermercados,,,,3434,-34.140379,-70.7367427
